mcp_count,source,ra,dec,velo,date_obs,tsys,int,Rms1,Vlo1,Vhi1
252,2MASXJ01023915-,15.66304,34.27583,15156,2014.079,65.7,7,8.2,13675,16651
253,MRK969,15.66746,-12.84917,6208,2009.996,38.9,10,3.5,4810,7619
254,NGC354,15.81833,22.34281,4665,2010.074,32.2,10,2.9,3281,6062
255,NGC357,15.841170000000002,-6.33922,2541,2005.971,57.1,5,8.1,1176,3918
256,J010324-105121,15.85067,-10.85586,6982,2013.108,43.1,8,5.0,5576,8400
257,2MASXJ01033102-,15.879170000000002,-12.26858,7195,2012.35,40.2,10,4.2,5788,8615
258,010411+140653,16.046879999999998,14.11481,12591,2006.186,32.9,10,3.0,11134,14062
259,010621+143455,16.59088,14.58217,11991,2006.186,33.2,10,3.0,10539,13456
260,010623-000841,16.59979,14.58217,14390,2006.358,33.7,10,3.1,12916,15877
261,UM85,16.68829,6.633889999999999,12291,2016.2,52.7,10,5.0,10927,13667
262,010716-003837,16.81929,6.633889999999999,13190,2006.358,33.3,10,2.8,11727,14666
263,3C31,16.852079999999994,32.40833,5100,2004.149,38.9,20,2.7,3712,6501
264,NGC385,16.8635,32.31981,4940,2006.899,41.6,5,5.4,3553,6339
265,2MASXJ01080350+,17.014789999999998,22.06581,16489,2014.086,44.8,10,4.4,14995,17997
266,NGC392,17.09775,33.13361,4762,2006.899,40.6,5,5.7,3377,6160
267,UGC711,17.15642,1.64217,1982,2003.31,40.7,32,2.3,622,3354
268,3C33,17.2105,13.30867,17750,2004.149,46.6,20,3.5,16244,19270
270,3C033,17.22029,13.33717,17898,2008.157,33.4,8,3.2,16391,19419
271,UGC-714,17.30846,32.15136,4634,2006.899,39.9,5,5.5,3250,6030
272,NGC404,17.36254,35.71783,-47,2006.928,34,5,4.1,-1389,1306
276,J0109-0332,17.438,-3.54242,16369,2014.925,45.6,22,3.6,14876,17875
277,2MASXJ01095192+,17.46637,15.85611,18649,2014.055,43.9,10,4.4,17135,20177
278,010957-004212,17.48771,15.85611,13490,2006.358,34,10,3.0,12025,14969
279,SDSSJ011016.00+,17.566670000000002,15.08778,17902,2014.055,43.9,10,4.6,16395,19423
280,UGC-728,17.62054,43.28772,4909,2006.928,34.1,5,4.6,3523,6308
281,J011038-001640,17.65942,43.28772,5408,2013.085,50.2,10,5.4,4017,6811
282,SDSSJ01109+0026,17.74704,43.28772,5612,2016.178,43.2,10,4.1,4306,6930
283,UGC747,17.85112,1.27936,6780,2003.31,34,16,2.6,5376,8196
284,MRK563,17.96283,-1.6556099999999998,4925,2003.288,42,21,2.7,3538,6324
285,NGC420,18.03996,32.12319,4974,2006.899,40.4,5,5.5,3587,6373
286,011248-001724,18.2025,32.12319,5396,2006.18,44.4,10,4.2,4005,6799
287,011259-060835,18.24954,-6.14303,2239,2008.919,49.5,10,4.6,877,3613
288,2MASXJ01130719+,18.28004,13.39669,17730,2014.052,46.1,10,4.8,16225,19249
290,UGC768,18.29008,2.28775,13839,2013.485,45.2,10,4.9,12370,15321
291,011333+002948,18.38771,2.28775,13190,2006.358,33.9,10,2.9,11727,14666
292,MRK1152,18.45875,-14.845579999999998,15812,2009.163,42.8,10,4.0,14325,17313
294,UGC774,18.4625,13.27164,14880,2010.2,44.7,10,4.4,13401,16372
295,UGC-784,18.51704,-1.74222,4902,2005.839,67.2,5,9.3,4763,7571
296,IC1657,18.52921,-32.65083,3583,2012.96,66.8,10,7.3,2208,4970
297,SDSSJ01143+0055,18.585420000000006,-32.65083,1129,2016.238,45.1,8,5.1,-138,2408
298,2MASXJ01142152+,18.589920000000006,14.53306,17630,2014.052,45.9,10,4.6,16125,19149
300,2MASXJ01142985+,18.62458,14.53306,13245,2012.96,38.5,10,3.9,11782,14722
